record_id,norad_cat_id,satellite_name,country,approximate_orbit_type,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,HRR_Category,is_nominated,nominated_at,has_dossier,last_updated_at,justification,focused_analysis,days_old,conjunction_count,is_unk_object,all_maneuvers,days_since_ob,recent_maneuvers,deltaV_90day,has_sister_debris
10096,10096,SL-14 R/B,CIS,LEO,ROCKET BODY,1977,PKMTR,-70.94856912,-45.06140362,"62.925556,40.577778",,FALSE,,FALSE,,,,17390,0,FALSE,,,,,
10436,10436,COSMOS 839 DEB,CIS,LEO,DEBRIS,1976,PKMTR,29.39840935,-32.93402367,"62.925556,40.577778",,FALSE,,FALSE,,,,17741,0,FALSE,,,,,
11888,11888,SL-6 R/B(2),CIS,HEO,ROCKET BODY,1980,PKMTR,126.9150131,-19.61821317,"62.925556,40.577778",,FALSE,,FALSE,,,,16286,0,FALSE,,,,,
12529,12529,DELTA 1 DEB,US,LEO,DEBRIS,1976,AFWTR,-49.97556469,63.24844584,"34.742221,-120.57243",,FALSE,,FALSE,,,,17720,0,FALSE,,,,,
13610,13610,SL-12 R/B(2),CIS,MEO,ROCKET BODY,1982,TTMTR,85.4247124,128.2572213,"45.965,63.305",,FALSE,,FALSE,,,,15454,0,FALSE,,,,,
18634,18634,SL-12 R/B(2),CIS,GEO,ROCKET BODY,1987,TTMTR,-84.0285869,-45.40569888,"45.965,63.305",,FALSE,,FALSE,,,,13569,0,FALSE,,,,,
21249,21249,SL-8 DEB,CIS,LEO,DEBRIS,1991,PKMTR,-162.5254582,-98.07395074,"62.925556,40.577778",,FALSE,,FALSE,,,,12409,0,FALSE,,,,,
23097,23097,USA 103,US,Unknown Orbit Category,PAYLOAD,1994,AFETR,0,0,"28.4917337,-80.5825555",,FALSE,,FALSE,,,,11233,0,FALSE,,,,,
26005,26005,SL-14 DEB,CIS,LEO,DEBRIS,1991,PKMTR,9.339711283,22.61155748,"62.925556,40.577778",,FALSE,,FALSE,,,,12181,0,FALSE,,,,,
28158,28158,USA 176,US,GEO,PAYLOAD,2004,AFETR,87.91604609,87.1905644,"28.4917337,-80.5825555",Blue,FALSE,,FALSE,,,,7659,1,FALSE,,,,,
28473,28473,ATLAS 5 CENTAUR R/B,US,HEO,ROCKET BODY,2004,AFETR,58.82236332,165.8841282,"28.4917337,-80.5825555",,FALSE,,FALSE,,,,7352,0,FALSE,,,,,
29210,29210,SCOUT G-1 DEB,US,LEO,DEBRIS,1987,AFWTR,0,0,"34.742221,-120.57243",,FALSE,,FALSE,,,,13654,0,FALSE,,,,,
29539,29539,CZ-4B DEB,PRC,LEO,DEBRIS,2006,TSC,26.25180283,127.1089658,"38.849086,111.608497",,FALSE,,FALSE,,,,6857,0,FALSE,,,,,
31518,31518,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,0,0,"38.849086,111.608497",,FALSE,,FALSE,,,,9400,0,FALSE,,,,,
32558,32558,DELTA 4H DEB,US,Unknown Orbit Category,DEBRIS,2007,AFETR,0,0,"28.4917337,-80.5825555",,FALSE,,FALSE,,,,6293,0,FALSE,,,,,
35350,35350,PSLV DEB,IND,LEO,DEBRIS,2001,SRI,-19.90037801,94.22048479,"13.7178,80.2",,FALSE,,FALSE,,,,8504,0,FALSE,,,,,
